,Date,Open,Close,High,Volume,aggregate_sentiment_score,Movement,Daily_Return,Volatility,sentiment_volatility,sentiment_volatility_lag1,aggregate_sentiment_score_lag1,Close_lag1,High_lag1,Volume_lag1,Daily_Return_lag1,Volatility_lag1
12,2020-05-05,62.59,63.21,63.85,7401395.0,0.0,1,1.1521843494959105,1.2390804477890534,0.14604793733565702,0.13831124321616084,0.0,62.49,63.72,12414922.0,0.9531502423263394,1.1852582313079216
13,2020-04-30,64.68,64.29,65.15,11638878.0,0.05,1,1.708590412909361,1.434616931120522,0.032093613071762374,0.14604793733565702,0.0,63.21,63.85,7401395.0,1.1521843494959105,1.2390804477890534
14,2020-04-29,66.6,65.45,66.6,13687194.0,0.03,1,1.8043241561673584,1.5421886427659897,0.02167948338867872,0.032093613071762374,0.05,64.29,65.15,11638878.0,1.708590412909361,1.434616931120522
15,2020-04-28,65.78,65.78,66.63,20273560.0,-0.19000000000000003,1,0.5042016806722671,0.5404233277224372,0.09628083921528728,0.02167948338867872,0.03,65.45,66.6,13687194.0,1.8043241561673584,1.5421886427659897
16,2020-04-27,65.82,68.05,68.61,12786753.0,0.45,1,3.4508969291577873,1.095872198247311,0.23392306427541515,0.09628083921528728,-0.19000000000000003,65.78,66.63,20273560.0,0.5042016806722671,0.5404233277224372
17,2020-04-24,66.12,65.98,66.52,7686451.0,0.29,0,-3.041880969875077,2.4327292481182936,0.24835458522040618,0.23392306427541515,0.45,68.05,68.61,12786753.0,3.4508969291577873,1.095872198247311
18,2020-04-23,64.98,65.53,66.34,8152497.0,0.46,0,-0.6820248560169828,2.4651585399023728,0.28234730386529283,0.24835458522040618,0.29,65.98,66.52,7686451.0,-3.041880969875077,2.4327292481182936
19,2020-04-21,66.13,63.65,66.69,17876574.0,-0.54,1,-2.868915000763017,2.6795645295716017,0.44207465432888143,0.28234730386529283,0.46,65.53,66.34,8152497.0,-0.6820248560169828,2.4651585399023728
20,2020-04-20,67.11,67.33,68.17,11675768.0,0.01,1,5.781618224666141,3.9335439715351157,0.418365868588727,0.44207465432888143,-0.54,63.65,66.69,17876574.0,-2.868915000763017,2.6795645295716017
21,2020-04-16,66.97,67.25,67.52,9145058.0,0.47,0,-0.11881776325560756,3.578306526885972,0.4222203216331492,0.418365868588727,0.01,67.33,68.17,11675768.0,5.781618224666141,3.9335439715351157
22,2020-04-15,65.82,66.5,67.22,10809072.0,0.52,0,-1.115241635687736,3.2856571707424416,0.45423562167668,0.4222203216331492,0.47,67.25,67.52,9145058.0,-0.11881776325560756,3.578306526885972
23,2020-04-13,66.3,65.26,66.82,7706678.0,0.0,0,-1.8646616541353356,3.40535265068391,0.4303138389594274,0.45423562167668,0.52,66.5,67.22,10809072.0,-1.115241635687736,3.2856571707424416
24,2020-04-08,64.16,66.13,67.25,11481888.0,0.02,0,1.3331290223720371,3.0295830430608666,0.2663268668384773,0.4303138389594274,0.0,65.26,66.82,7706678.0,-1.8646616541353356,3.40535265068391
25,2020-04-07,66.18,63.65,66.42,10657950.0,0.04,1,-3.750189021624073,1.903367227835284,0.2611512971440119,0.2663268668384773,0.02,66.13,67.25,11481888.0,1.3331290223720371,3.0295830430608666
26,2020-04-06,63.47,65.07,65.51,14314108.0,0.35,0,2.2309505106048677,2.4256076803893536,0.23554192832699664,0.2611512971440119,0.04,63.65,66.42,10657950.0,-3.750189021624073,1.903367227835284
27,2020-04-02,61.56,62.29,62.49,12843345.0,0.44999999999999996,0,-4.272322114645755,2.9390342179122135,0.2115892246783848,0.23554192832699664,0.35,65.07,65.51,14314108.0,2.2309505106048677,2.4256076803893536
28,2020-04-01,60.49,59.8,61.15,11665288.0,-0.30000000000000004,0,-3.9974313694011943,3.191792637012016,0.2976071235706565,0.2115892246783848,0.44999999999999996,62.29,62.49,12843345.0,-4.272322114645755,2.9390342179122135
29,2020-03-30,59.65,62.35,62.87,15803316.0,0.02,0,4.264214046822756,4.042033487141185,0.2976071235706565,0.2976071235706565,-0.30000000000000004,59.8,61.15,11665288.0,-3.9974313694011943,3.191792637012016
30,2020-03-27,58.18,58.12,59.5,12467218.0,0.06999999999999999,0,-6.784282277465925,4.710851467223489,0.2960912021658192,0.2976071235706565,0.02,62.35,62.87,15803316.0,4.264214046822756,4.042033487141185
31,2020-03-26,55.21,59.58,60.11,18052848.0,0.75,0,2.512044046799722,4.770960226492135,0.40751687081641175,0.2960912021658192,0.06999999999999999,58.12,59.5,12467218.0,-6.784282277465925,4.710851467223489
32,2020-03-25,55.43,55.28,57.03,18311494.0,0.42,0,-7.217186975495126,5.324426661089299,0.4030756752769882,0.40751687081641175,0.75,59.58,60.11,18052848.0,2.512044046799722,4.770960226492135
33,2020-03-24,55.9,55.95,56.52,19901939.0,-0.13,1,1.2120115774240325,5.40475297333744,0.35556996498579574,0.4030756752769882,0.42,55.28,57.03,18311494.0,-7.217186975495126,5.324426661089299
